Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0.005,-5.3193E-19,0,0,0,0.0031416,1.0472E-07,-3.0355E-40,0,1.5708E-07,2.8699E-40,1.0472E-07,0,0,0,0,0,0,package://vehicle/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vehicle/meshes/base_link.STL,,零件2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chassis,0.00013502,0.0025003,2.5045,0,0,0,1020,1310,-4.5898,-6.4037,15481,-765.78,5698.5,0,0,0,0,0,0,package://vehicle/meshes/chassis.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vehicle/meshes/chassis.STL,,车身4.12-1,Origin_base_link_connection2,,base_link_connection,fixed,-0.0014967,2.3251,-0.048125,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
fl_axle,2.2204E-16,-0.15,-0.086266,0,0,0,5.8054,0.10756,8.8456E-18,2.4807E-16,0.074472,3.3356E-18,0.061438,0,0,0,0,0,0,package://vehicle/meshes/fl_axle.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vehicle/meshes/fl_axle.STL,,转向-1,Origin_front_left_steer_joint2,Axis_front_left_steer_joint2,front_left_steer_joint,continuous,-0.6425,-0.61535,0.5,3.1416,1.3368,3.1416,chassis,0,1,0,,,,,,,,,,,,
front_left_wheel,6.7998E-06,2.7332E-07,-0.28628,0,0,0,153.21,9.1781,-7.6597E-06,-2.2665E-06,9.1785,-5.9075E-06,16.054,0,0,0,0,0,0,package://vehicle/meshes/front_left_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://vehicle/meshes/front_left_wheel.STL,,车轮-4,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0,-0.15,0,0,0,-2.1312,fl_axle,0,0,1,,,,,,,,,,,,
fr_axle,4.4409E-16,-0.15,-0.086266,0,0,0,5.8054,0.10756,2.5228E-17,2.6368E-16,0.074472,-1.3996E-17,0.061438,0,0,0,0,0,0,package://vehicle/meshes/fr_axle.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vehicle/meshes/fr_axle.STL,,转向-3,Origin_front_right_steer_joint2,Axis_front_right_steer_joint2,front_right_steer_joint,continuous,0.6425,-0.61535,0.5,3.1416,-1.4026,3.1416,chassis,0,1,0,,,,,,,,,,,,
front_right_wheel,6.8007E-06,2.9085E-07,-0.32034,0,0,0,153.21,9.1781,-8.5807E-06,-2.4934E-06,9.1785,-5.8784E-06,16.054,0,0,0,0,0,0,package://vehicle/meshes/front_right_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://vehicle/meshes/front_right_wheel.STL,,车轮-1,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0,-0.15,0.034063,0,0,1.4828,fr_axle,0,0,1,,,,,,,,,,,,
steering_link,2.7126E-05,1.2412,-4.9006E-05,0,0,0,27.398,3.1369,0.00049138,0.0001888,1.5651,-0.0008423,3.1367,0,0,0,0,0,0,package://vehicle/meshes/steering_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vehicle/meshes/steering_link.STL,,方向盘-2,Origin_steering_joint2,Axis_steering_joint2,steering_joint,continuous,-0.62,-0.81197,0.81197,2.3533,0.075776,3.0656,chassis,0,1,0,,,,,,,,,,,,
rear_left_wheel,6.7998E-06,2.7332E-07,-0.16168,0,0,0,153.21,9.1781,-7.6597E-06,-2.2665E-06,9.1785,-5.9075E-06,16.054,0,0,0,0,0,0,package://vehicle/meshes/rear_left_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://vehicle/meshes/rear_left_wheel.STL,,车轮-2,Origin_rear_left_wheel_joint2,Axis_rear_left_wheel_joint2,rear_left_wheel_joint,continuous,-0.7671,-0.76535,3.8,-1.5708,-1.052,-1.5708,chassis,0,0,1,,,,,,,,,,,,
rear_right_wheel,6.7998E-06,2.7332E-07,-0.16168,0,0,0,153.21,9.1781,-7.6597E-06,-2.2665E-06,9.1785,-5.9075E-06,16.054,0,0,0,0,0,0,package://vehicle/meshes/rear_right_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://vehicle/meshes/rear_right_wheel.STL,,车轮-3,Origin_rear_right_wheel_joint2,Axis_rear_right_wheel_joint2,rear_right_wheel_joint,continuous,0.7671,-0.76535,3.8,-1.5708,0.24615,1.5708,chassis,0,0,1,,,,,,,,,,,,
